bench,invocation,baseline_mean_us,aot_mean_us
matrix-multiplication,222,15730.4,14946.8
matrix-multiplication,223,26833.0,26925.8
matrix-multiplication,224,14756.2,14417.2
matrix-multiplication,225,18814.4,18447.2
matrix-multiplication,226,25377.2,25249.4
matrix-multiplication,227,19881.2,19200.6
matrix-multiplication,228,15232.0,14820.6
matrix-multiplication,229,21721.0,19271.6
matrix-multiplication,230,15086.8,15104.6
matrix-multiplication,231,15001.0,14823.6
matrix-multiplication,232,27037.2,21216.2
matrix-multiplication,233,15172.2,14948.2
matrix-multiplication,234,14321.2,13983.4
matrix-multiplication,235,14989.8,14671.8
matrix-multiplication,236,14793.0,14529.6
matrix-multiplication,237,15023.0,14662.8
matrix-multiplication,238,15341.6,15167.4
matrix-multiplication,239,15107.0,14969.8
matrix-multiplication,240,16091.6,15721.4
matrix-multiplication,241,26241.4,26000.8
matrix-multiplication,242,15336.8,15060.4
matrix-multiplication,243,15722.4,15518.2
matrix-multiplication,244,15298.0,15032.2
matrix-multiplication,245,26378.4,25457.4
matrix-multiplication,246,15185.2,15001.4
matrix-multiplication,247,27094.0,20370.0
matrix-multiplication,248,15490.4,15270.4
matrix-multiplication,249,15032.6,14455.0
matrix-multiplication,250,14731.8,14418.2
matrix-multiplication,251,14971.2,14886.6
matrix-multiplication,252,25716.0,25828.8
matrix-multiplication,253,15429.2,15104.8
matrix-multiplication,254,26282.4,23664.6
matrix-multiplication,255,15259.2,14969.6
matrix-multiplication,256,14559.2,14448.8
matrix-multiplication,257,15475.6,15018.2
matrix-multiplication,258,14833.4,14486.6
matrix-multiplication,259,15124.0,14917.8
matrix-multiplication,260,30649.2,26737.6
matrix-multiplication,261,16758.8,14772.0
matrix-multiplication,262,21473.8,18935.8
matrix-multiplication,263,15411.0,14639.8
matrix-multiplication,264,21005.2,19960.2
matrix-multiplication,265,15294.4,14772.8
matrix-multiplication,266,15592.2,15184.6
matrix-multiplication,267,26355.0,25923.8
matrix-multiplication,268,15284.8,15110.4
matrix-multiplication,269,14985.4,14834.8
matrix-multiplication,270,16233.6,15042.0
matrix-multiplication,271,26538.6,26321.4
matrix-multiplication,272,24445.2,24794.6
matrix-multiplication,273,15040.4,14511.6
matrix-multiplication,274,15345.4,14505.8
matrix-multiplication,275,21326.2,19682.8
matrix-multiplication,276,15155.0,14853.2
matrix-multiplication,277,16488.4,15218.8
matrix-multiplication,278,26947.4,26102.0
matrix-multiplication,279,17070.6,14723.8
matrix-multiplication,280,34919.8,14737.0
matrix-multiplication,281,27247.0,24087.0
matrix-multiplication,282,26787.0,26620.6
matrix-multiplication,283,25670.2,25729.4
matrix-multiplication,284,15503.0,15173.6
matrix-multiplication,285,15175.0,14872.2
matrix-multiplication,286,26617.2,25425.4
matrix-multiplication,287,15005.4,14746.2
matrix-multiplication,288,15325.8,15178.0
matrix-multiplication,289,15725.4,15362.0
matrix-multiplication,290,20927.8,20406.6
matrix-multiplication,291,24957.6,25464.4
matrix-multiplication,292,20415.2,21548.8
matrix-multiplication,293,14877.4,14661.4
matrix-multiplication,294,15398.4,15046.4
matrix-multiplication,295,26293.0,26065.4
matrix-multiplication,296,15431.8,15055.0
matrix-multiplication,297,14740.0,14605.2
matrix-multiplication,298,15428.8,14980.4
matrix-multiplication,299,14937.6,14616.8
matrix-multiplication,300,24687.6,25126.2
matrix-multiplication,301,19004.6,18861.0
matrix-multiplication,302,14854.0,14849.4
matrix-multiplication,303,14838.6,14837.0
matrix-multiplication,304,15599.6,14752.4
matrix-multiplication,305,22091.6,22257.0
matrix-multiplication,306,15003.6,14708.8
matrix-multiplication,307,15473.4,15058.4
matrix-multiplication,308,14814.0,14468.2
matrix-multiplication,309,15575.0,15134.4
matrix-multiplication,310,14866.4,14799.2
matrix-multiplication,311,14886.8,14824.8
matrix-multiplication,312,15372.6,15416.8
matrix-multiplication,313,14738.6,14751.8
matrix-multiplication,314,15392.0,15315.4
matrix-multiplication,315,15109.6,14869.8
matrix-multiplication,316,15359.4,15610.0
matrix-multiplication,317,14600.4,14165.4
matrix-multiplication,318,23620.6,24111.0
matrix-multiplication,319,26625.0,26682.0
matrix-multiplication,320,14805.6,14826.0
matrix-multiplication,321,14812.4,14718.0
matrix-multiplication,322,15370.0,15260.4
matrix-multiplication,323,14461.8,14608.8
matrix-multiplication,324,14527.4,15035.4
matrix-multiplication,325,15689.8,15420.4
